1027	1
10274	1
10276	4
10279	19
1028	1
10280	164
10280-107	1
10280-116	1
10281	5
10282	80
10282-120	2
10300	2
10301	995
10301-165	3
10301-172	3
10301-182	1
10301-202	1
10301-255	1
10302	170
10303	231
10303-217	2
10304	857
10304-212	1
10305	536
10306	795
10307	216
10308	414
10308-192	2
10309	453
10310	354
10310-162	1
10311	4
10312	798
10313	3
10314	1060
10320	1
1034	1
10372	1
1040	2
10400	2
10402	2
10403	1
10405	1
10451	229
10452	224
10453	427
10454	151
10454-110	1
10455	198
10455-117	1
10456	233
10456-112	4
10457	208
10458	331
10459	232
10460	217
10461	768
10462	677
10463	617
10463-162	1
10463-193	2
10463-518	3
10463-653	1
10464	612
10465	1123
10465-212	2
10465]	1
10466	181
10467	415
10467-156	1
10467-250	1
10468	377
10468-104	2
10468-409	5
10468-433	1
10469	566
10470	142
10471	335
10471-150	1
10471-180	1
10471-301	1
10471-350	2
10472	324
10473	541
10474	66
10475	242
10475-360	3
10475-403	1
10476	1
1050	1
10501	11
10502	14
10503-031	1
10504	77
10506	43
10507	3
10508	1
10509	17
10510	42
10511	5
10512	10
10514	66
10516	17
10517	1
10518	2
10519	3
10520	36
10522	21
10523	17
10524	8
10526	4
10528	38
10529	3
10530	34
10532	18
10533	74
10536	44
10537	2
10538	133
1054	2
10541	53
10543	75
10546	3
10547	13
10548	8
10549	81
10550	21
10552	51
10553	9
10555	1
1056	1
10560	13
10561	2
10562	48
10566	38
10567	19
10570	37
10573	43
10576	20
10577	43
10579	30
10580	99
10583	284
10585	1
10589	5
10590	15
10591	66
10594	13
10595	62
10596	2
10597	6
10598	51
10598-758	3
10599	1
1060	4
10601	41
10603	34
10604	25
10605	43
10606	19
10607	33
10610	1
1062	3
10644	1
10701	96
10703	34
10704	112
10705	53
10706	73
10707	39
10708	178
10709	55
10710	79
10716	1
10724	1
1073	1
10760	1
10762	1
1080	1
10801	80
10803	96
10804	107
10804-450	1
10805	49
10814	1
10838	1
10880	2
10901	27
10903	1
10913	11
10914	1
10916	2
10917	1
10918	2
10920	13
10921	1
10922	2
10923	2
10924	1
10925	4
10926	1
10927	7
10930	11
10940	12
10941	5
10946	1
10949	1
10950	31
10951	1
10952	31
10953	1
10954	33
10956	66
10960	21
10962	12
10964	17
10965	22
10967	2
10968	5
10970	13
10973	1
10974	1
10975	1
10976	1
10977	37
10980	6
10983	23
10984	4
10986	1
10987	3
10989	22
10990	6
10992	17
10993	2
10994	11
10998	2
11001	118
11002	4
11003	59
11003-191	1
11004	185
11005	51
11010	29
11016	1
11020	78
11021	174
11022	1
11023	48
11024	96
11029	1
11030	209
11036	2
11040	234
11042	6
11047	1
11050	193
11060	1
1107	1
11080	1
11092	1
11096	3
11100	1
11101	778
11101-552	2
11101-566	2
11102	292
11102-199	3
11103	305
11103-200	1
11103-440	1
11103-470	1
11104	565
11105	437
11106	361
11109	150
11130	1
11142	2
11152	1
11163	1
1119	1
11201	1688
11201-126	1
11201-160	1
11201-217	1
11201-240	1
11201-262	1
11201-461	1
11201-505	4
11201-551	1
11201-674	1
11201-802	1
11201-821	1
11202	17
11203	528
11204	544
11205	633
11206	453
11207	460
11208	358
11209	2594
11209-251	3
11209-332	1
11209-616	1
11210	991
11211	721
11211-910	2
11212	739
11212-320	1
11213	573
11213-488	1
11213-569	2
11214	580
11215	2548
11215-113	1
11215-140	1
11215-210	1
11215-226	1
11215-230	2
11215-248	1
11215-290	1
11215-300	1
11215-391	3
11215-430	1
11215-433	2
11215-501	2
11215-591	3
11216	813
11217	1013
11217-393	1
11218	934
11218-170	1
11218-240	2
11218-242	1
11219	525
11219-170	1
11220	935
11220-133	1
11221	585
11221-241	2
11222	452
11222-294	4
11223	631
11224	310
11225	840
11226	1060
11226-171	1
11226-520	1
11227	3
11228	876
11229	472
11229-493	1
11230	952
11230-215	1
11231	799
11231-445	1
11231-490	1
11232	326
11233	700
11233-151	1
11234	837
11235	588
11235-526	1
11236	446
11236-280	1
11237	200
11238	1508
11238-191	1
11238-415	1
